Social Category,Age of Death (years)
Aristocracy,21
Aristocracy,21
Aristocracy,21
Aristocracy,21
Aristocracy,21
Aristocracy,21
Aristocracy,21
Aristocracy,22
Aristocracy,22
Aristocracy,22
Aristocracy,22
Aristocracy,22
Aristocracy,22
Aristocracy,22
Aristocracy,22
Aristocracy,23
Aristocracy,23
Aristocracy,23
Aristocracy,23
Aristocracy,23
Aristocracy,23
Aristocracy,23
Aristocracy,23
Aristocracy,23
Aristocracy,23
Aristocracy,23
Aristocracy,23
Aristocracy,23
Aristocracy,23
Aristocracy,23
Aristocracy,23
Aristocracy,23
Aristocracy,23
Aristocracy,23
Aristocracy,24
Aristocracy,24
Aristocracy,24
Aristocracy,24
Aristocracy,24
Aristocracy,24
Aristocracy,24
Aristocracy,24
Aristocracy,24
Aristocracy,24
Aristocracy,24
Aristocracy,24
Aristocracy,24
Aristocracy,24
Aristocracy,24
Aristocracy,24
Aristocracy,24
Aristocracy,24
Aristocracy,24
Aristocracy,24
Aristocracy,24
Aristocracy,25
Aristocracy,25
Aristocracy,25
Aristocracy,25
Aristocracy,25
Aristocracy,25
Aristocracy,25
Aristocracy,25
Aristocracy,25
Aristocracy,25
Aristocracy,25
Aristocracy,25
Aristocracy,26
Aristocracy,26
Aristocracy,26
Aristocracy,26
Aristocracy,26
Aristocracy,26
Aristocracy,26
Aristocracy,26
Aristocracy,26
Aristocracy,26
Aristocracy,26
Aristocracy,26
Aristocracy,27
Aristocracy,27
Aristocracy,27
Aristocracy,27
Aristocracy,27
Aristocracy,27
Aristocracy,27
Aristocracy,27
Aristocracy,27
Aristocracy,27
Aristocracy,27
Aristocracy,27
Aristocracy,27
Aristocracy,27
Aristocracy,27
Aristocracy,28
Aristocracy,28
Aristocracy,28
Aristocracy,28
Aristocracy,28
Aristocracy,28
Aristocracy,28
Aristocracy,28
Aristocracy,28
Aristocracy,28
Aristocracy,28
Aristocracy,28
Aristocracy,28
Aristocracy,28
Aristocracy,28
Aristocracy,28
Aristocracy,28
Aristocracy,28
Aristocracy,29
Aristocracy,29
Aristocracy,29
Aristocracy,29
Aristocracy,29
Aristocracy,29
Aristocracy,29
Aristocracy,29
Aristocracy,29
Aristocracy,29
Aristocracy,29
Aristocracy,29
Aristocracy,29
Aristocracy,29
Aristocracy,29
Aristocracy,29
Aristocracy,29
Aristocracy,29
Aristocracy,29
Aristocracy,29
Aristocracy,29
Aristocracy,29
Aristocracy,29
Aristocracy,30
Aristocracy,30
Aristocracy,30
Aristocracy,30
Aristocracy,30
Aristocracy,30
Aristocracy,30
Aristocracy,30
Aristocracy,30
Aristocracy,30
Aristocracy,30
Aristocracy,30
Aristocracy,30
Aristocracy,30
Aristocracy,30
Aristocracy,30
Aristocracy,30
Aristocracy,31
Aristocracy,31
Aristocracy,31
Aristocracy,31
Aristocracy,31
Aristocracy,31
Aristocracy,31
Aristocracy,31
Aristocracy,31
Aristocracy,31
Aristocracy,31
Aristocracy,31
Aristocracy,31
Aristocracy,31
Aristocracy,31
Aristocracy,31
Aristocracy,31
Aristocracy,31
Aristocracy,32
Aristocracy,32
Aristocracy,32
Aristocracy,32
Aristocracy,32
Aristocracy,32
Aristocracy,32
Aristocracy,32
Aristocracy,32
Aristocracy,32
Aristocracy,32
Aristocracy,32
Aristocracy,32
Aristocracy,32
Aristocracy,32
Aristocracy,32
Aristocracy,32
Aristocracy,32
Aristocracy,32
Aristocracy,33
Aristocracy,33
Aristocracy,33
Aristocracy,33
Aristocracy,33
Aristocracy,33
Aristocracy,33
Aristocracy,33
Aristocracy,33
Aristocracy,33
Aristocracy,33
Aristocracy,33
Aristocracy,33
Aristocracy,33
Aristocracy,33
Aristocracy,33
Aristocracy,33
Aristocracy,33
Aristocracy,33
Aristocracy,33
Aristocracy,33
Aristocracy,33
Aristocracy,33
Aristocracy,33
Aristocracy,33
Aristocracy,33
Aristocracy,34
Aristocracy,34
Aristocracy,34
Aristocracy,34
Aristocracy,34
Aristocracy,34
Aristocracy,34
Aristocracy,34
Aristocracy,34
Aristocracy,34
Aristocracy,34
Aristocracy,34
Aristocracy,34
Aristocracy,34
Aristocracy,34
Aristocracy,34
Aristocracy,35
Aristocracy,35
Aristocracy,35
Aristocracy,35
Aristocracy,35
Aristocracy,35
Aristocracy,35
Aristocracy,35
Aristocracy,35
Aristocracy,35
Aristocracy,35
Aristocracy,35
Aristocracy,35
Aristocracy,35
Aristocracy,35
Aristocracy,35
Aristocracy,35
Aristocracy,35
Aristocracy,35
Aristocracy,35
Aristocracy,36
Aristocracy,36
Aristocracy,36
Aristocracy,36
Aristocracy,36
Aristocracy,36
Aristocracy,36
Aristocracy,36
Aristocracy,36
Aristocracy,36
Aristocracy,36
Aristocracy,36
Aristocracy,36
Aristocracy,36
Aristocracy,36
Aristocracy,36
Aristocracy,36
Aristocracy,37
Aristocracy,37
Aristocracy,37
Aristocracy,37
Aristocracy,37
Aristocracy,37
Aristocracy,37
Aristocracy,37
Aristocracy,37
Aristocracy,37
Aristocracy,37
Aristocracy,37
Aristocracy,37
Aristocracy,37
Aristocracy,37
Aristocracy,37
Aristocracy,37
Aristocracy,37
Aristocracy,37
Aristocracy,38
Aristocracy,38
Aristocracy,38
Aristocracy,38
Aristocracy,38
Aristocracy,38
Aristocracy,38
Aristocracy,38
Aristocracy,38
Aristocracy,38
Aristocracy,38
Aristocracy,38
Aristocracy,38
Aristocracy,38
Aristocracy,38
Aristocracy,38
Aristocracy,38
Aristocracy,38
Aristocracy,38
Aristocracy,38
Aristocracy,38
Aristocracy,38
Aristocracy,38
Aristocracy,38
Aristocracy,38
Aristocracy,38
Aristocracy,38
Aristocracy,39
Aristocracy,39
Aristocracy,39
Aristocracy,39
Aristocracy,39
Aristocracy,39
Aristocracy,39
Aristocracy,39
Aristocracy,39
Aristocracy,39
Aristocracy,39
Aristocracy,39
Aristocracy,39
Aristocracy,39
Aristocracy,39
Aristocracy,39
Aristocracy,39
Aristocracy,39
Aristocracy,39
Aristocracy,39
Aristocracy,39
Aristocracy,39
Aristocracy,39
Aristocracy,39
Aristocracy,39
Aristocracy,39
Aristocracy,39
Aristocracy,39
Aristocracy,39
Aristocracy,40
Aristocracy,40
Aristocracy,40
Aristocracy,40
Aristocracy,40
Aristocracy,40
Aristocracy,40
Aristocracy,40
Aristocracy,40
Aristocracy,40
Aristocracy,40
Aristocracy,40
Aristocracy,40
Aristocracy,40
Aristocracy,40
Aristocracy,41
Aristocracy,41
Aristocracy,41
Aristocracy,41
Aristocracy,41
Aristocracy,41
Aristocracy,41
Aristocracy,41
Aristocracy,41
Aristocracy,41
Aristocracy,41
Aristocracy,41
Aristocracy,41
Aristocracy,41
Aristocracy,41
Aristocracy,41
Aristocracy,41
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,42
Aristocracy,43
Aristocracy,43
Aristocracy,43
Aristocracy,43
Aristocracy,43
Aristocracy,43
Aristocracy,43
Aristocracy,43
Aristocracy,43
Aristocracy,43
Aristocracy,43
Aristocracy,43
Aristocracy,43
Aristocracy,43
Aristocracy,43
Aristocracy,43
Aristocracy,43
Aristocracy,43
Aristocracy,43
Aristocracy,43
Aristocracy,43
Aristocracy,43
Aristocracy,43
Aristocracy,43
Aristocracy,43
Aristocracy,43
Aristocracy,43
Aristocracy,43
Aristocracy,43
Aristocracy,43
Aristocracy,44
Aristocracy,44
Aristocracy,44
Aristocracy,44
Aristocracy,44
Aristocracy,44
Aristocracy,44
Aristocracy,44
Aristocracy,44
Aristocracy,44
Aristocracy,44
Aristocracy,44
Aristocracy,44
Aristocracy,44
Aristocracy,44
Aristocracy,44
Aristocracy,44
Aristocracy,44
Aristocracy,44
Aristocracy,44
Aristocracy,44
Aristocracy,44
Aristocracy,44
Aristocracy,44
Aristocracy,44
Aristocracy,44
Aristocracy,45
Aristocracy,45
Aristocracy,45
Aristocracy,45
Aristocracy,45
Aristocracy,45
Aristocracy,45
Aristocracy,45
Aristocracy,45
Aristocracy,45
Aristocracy,45
Aristocracy,45
Aristocracy,45
Aristocracy,45
Aristocracy,45
Aristocracy,45
Aristocracy,45
Aristocracy,45
Aristocracy,45
Aristocracy,45
Aristocracy,45
Aristocracy,45
Aristocracy,45
Aristocracy,45
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,46
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
Aristocracy,47
