State,Govenor's Salary,Median Housing Price
Alabama,96,85
Alaska,86,144
Arizona,95,121
Arkansas,77,73
California,175,212
Colorado,90,167
Connecticut,150,167
Delaware,114,130
Florida,129,106
Georgia,129,111
Hawaii,95,273
Idaho,99,106
Illinois,151,131
Indiana,95,94
Iowa,107,83
Kansas,104,84
Kentucky,113,87
Louisiana,95,85
Maine,70,99
Maryland,145,146
Massachusetts,135,186
Michigan,177,116
Minnesota,120,122
Mississippi,122,71
Missouri,120,90
Montana,96,100
Nebraska,85,88
Nevada,117,142
New Hampshire,105,133
New Jersey,175,171
New Mexico,110,108
New York,179,149
North Carolina,124,108
North Dakota,89,74
Ohio,132,104
Oklahoma,118,71
Oregon,94,152
Pennsylvania,144,97
Rhode Island,105,133
South Carolina,106,95
South Dakota,103,80
Tennessee,85,93
Texas,115,83
Utah,105,146
Vermont,168,112
Virginia,175,125
Washington,148,168
West Virginia,95,73
Wisconsin,132,112
Wyoming,105,97
